county,cancer_avg_cost,avg_income,cancer_cost_ratio,poverty_5y,Unemployment,numbers_hospitals,population_2019,under5,under18,over65,female,percent_uninsured,poverty,above_avg_cancer_ratio,above_avg_income,%smoker,percent_smokers,%obesity,percent_adult_obesity,% drinkers,percent_excessive_drinkers,% unemployment,percent_unemployment_2020
Anderson County,15454,53617,0.288229479,0.172117203,0.07364352,2,76978,5.4,21.2,20.3,51.3,11.6,16.5,FALSE,TRUE,20.92502,0.209250177,32.90,0.33,14.3253,0.143252813,3.8,0.037569641
Bedford County,19219,47308,0.406252642,0.162542701,0.061396811,0,49713,6.7,25.4,15.2,50.7,14.7,14.4,FALSE,FALSE,22.69253,0.226925341,33.60,0.34,15.7168,0.157168062,3.7,0.037490287
Benton County,21315,41485,0.513800169,0.226497874,0.110524729,1,16160,5.1,19.9,23.9,51.1,12.7,19.2,TRUE,FALSE,23.65874,0.236587399,34.60,0.35,12.4818,0.124818464,4.9,0.049065421
Bledsoe County,19250,39919,0.482226509,0.237261772,0.093023255,1,15064,3.7,14.5,18.8,40.5,17.7,26.7,TRUE,FALSE,24.66140,0.246613969,32.70,0.33,14.5430,0.145430031,5.8,0.058099001
Blount County,17073,56978,0.299641967,0.13570869,0.065082714,2,133088,4.9,19.9,20.6,51.4,11.4,9.9,FALSE,TRUE,21.32230,0.213223022,32.90,0.33,14.8943,0.148943276,3.2,0.032260136
Bradley County,18859,48772,0.386676782,0.184288472,0.093377575,2,108110,5.8,21.9,17.3,51.3,13.6,14.7,FALSE,TRUE,21.77821,0.217782139,37.80,0.38,13.8546,0.138545905,3.6,0.035874886
Campbell County,20066,42040,0.477307326,0.223775342,0.086994402,2,39842,5.6,20.3,21,50.9,13.1,21.6,TRUE,FALSE,23.89986,0.23899862,32.70,0.33,13.1660,0.131659643,4.8,0.047586768
Cannon County,18036,45102,0.399893575,0.161781952,0.09865813,1,14678,6,21.5,18.5,50.2,12.5,14.2,FALSE,FALSE,22.20759,0.222075877,36.90,0.37,14.6209,0.146209155,3.2,0.03156407
Carroll County,20510,42819,0.47899297,0.197998539,0.085020244,1,27767,5.5,21.5,20.6,51.1,11.5,18.6,TRUE,FALSE,22.89531,0.22895309,30.10,0.30,12.9327,0.129326647,4.9,0.049497487
Carter County,17175,40495,0.424126435,0.238810867,0.070938028,0,56391,4.4,18.1,22.4,50.9,13.2,19.1,FALSE,FALSE,24.76691,0.247669119,37.70,0.38,12.9554,0.129553764,4.1,0.041329889
Cheatham County,19198,55583,0.345393376,0.129430726,0.065392554,1,40667,5.6,21.8,15.5,50.5,11.7,10.3,FALSE,TRUE,20.28596,0.202859572,32.00,0.32,15.6917,0.156916743,2.7,0.02735449
Chester County,23421,43408,0.539554921,0.179348156,0.107434988,0,17297,5.3,21.8,17.3,52,12.6,15.9,TRUE,FALSE,21.65024,0.216502431,31.10,0.31,13.9735,0.139734641,3.8,0.037758252
Claiborne County,20190,41748,0.483615982,0.222664341,0.084440604,1,31959,5.2,19.1,20.3,51,11.8,23.4,TRUE,FALSE,22.66099,0.226609875,26.00,0.26,14.0696,0.140696072,4.2,0.042318662
Clay County,19921,35658,0.558668461,0.24833703,0.085237578,0,7615,4.6,20,25.3,51,13.3,21,TRUE,FALSE,25.42118,0.254211821,30.70,0.31,12.0065,0.120064625,5.0,0.049702485
Cocke County,20753,36252,0.572464967,0.260985762,0.099513628,1,36004,5.1,20.2,21.6,51.5,11.9,22.5,TRUE,FALSE,24.06858,0.240685781,36.50,0.37,12.8468,0.128467941,4.7,0.046878157
Coffee County,21959,48987,0.448261784,0.158688664,0.070125431,1,56520,6.4,24,17.4,51.2,11.6,15.9,TRUE,TRUE,22.35555,0.223555471,32.00,0.32,15.3354,0.153354313,3.4,0.034217548
Crockett County,18012,43266,0.416308418,0.182570875,0.068312101,0,14230,5.8,23.3,19.2,52.4,14.4,19.4,FALSE,FALSE,22.88432,0.22884324,40.10,0.40,12.7712,0.127711582,3.9,0.038609489
Cumberland County,16473,48690,0.338324091,0.15952678,0.088124141,1,60520,4.5,17.2,31.2,51.2,12.7,14.4,FALSE,TRUE,19.94626,0.199462577,34.30,0.34,11.9240,0.119239506,4.4,0.043580734
Davidson County,20019,71028,0.281846596,0.176590249,0.062110495,13,694144,6.6,20.6,12.5,51.8,14,15.4,FALSE,TRUE,18.10690,0.181068995,29.70,0.30,15.7599,0.157599315,2.6,0.026320435
Decatur County,18076,41512,0.435440355,0.209044963,0.083482407,0,11663,5.1,20.7,24.1,51,12.5,18.2,TRUE,FALSE,22.69801,0.226980111,31.90,0.32,12.8059,0.128059082,4.8,0.047739755
DeKalb County,18583,43640,0.425824931,0.221688285,0.069833085,1,20490,5.6,21.5,18.8,50.2,15.2,17.4,FALSE,FALSE,22.69219,0.226921906,30.10,0.30,14.6842,0.146841764,4.4,0.044372574
Dickson County,21123,51267,0.412019428,0.159375936,0.05640348,1,53948,6,22.9,16.7,50.9,12.7,13.8,FALSE,TRUE,21.30033,0.213003291,26.70,0.27,14.5388,0.1453883,3.0,0.03020147
